thisRow.t,notes,trial,digit,responded,correct,response_time,
,,0,2,True,True,42.887063100002706,
,,1,6,True,True,44.423433399992064,
,,2,9,True,True,45.89242629997898,
,,3,0,True,True,47.230390699987765,
,,4,0,True,True,48.99053790001199,
,,5,2,True,True,50.56124000001,
,,6,0,True,True,52.03371029999107,
,,7,9,True,True,53.584679800027516,
,,8,1,True,True,55.15738310001325,
,,9,5,True,True,56.5093646000023,
,,10,7,True,True,58.29272229998605,
,,11,1,True,True,59.74425569997402,
,,12,0,True,True,61.214138599985745,
,,13,1,False,False,,
,,14,7,False,False,,
,,15,1,False,False,,
,,16,5,False,False,,
,,17,0,False,False,,
,,18,8,False,False,,
,,19,7,False,False,,
,,20,9,False,False,,
,,21,3,False,True,,
,,22,8,False,False,,
,,23,8,False,False,,
,,24,7,False,False,,
,,25,1,False,False,,
,,26,0,False,False,,
,,27,8,False,False,,
,,28,5,False,False,,
,,29,4,False,False,,
,,30,2,False,False,,
,,31,9,False,False,,
,,32,7,False,False,,
,,33,9,False,False,,
,,34,5,False,False,,
,,35,2,False,False,,
,,36,7,False,False,,
,,37,9,False,False,,
,,38,7,False,False,,
,,39,7,False,False,,
,,40,5,False,False,,
,,41,5,False,False,,
,,42,2,False,False,,
,,43,3,False,True,,
,,44,4,False,False,,
,,45,5,False,False,,
,,46,7,False,False,,
,,47,0,False,False,,
,,48,4,False,False,,
,,49,0,False,False,,
,,50,1,False,False,,
,,51,4,False,False,,
,,52,4,False,False,,
,,53,2,False,False,,
,,54,4,False,False,,
,,55,8,False,False,,
,,56,0,False,False,,
,,57,7,False,False,,
,,58,9,False,False,,
,,59,2,False,False,,
,,60,2,False,False,,
,,61,3,False,True,,
,,62,8,False,False,,
,,63,3,False,True,,
,,64,6,False,False,,
,,65,4,False,False,,
,,66,9,False,False,,
,,67,4,False,False,,
,,68,2,False,False,,
,,69,1,False,False,,
,,70,2,False,False,,
,,71,2,False,False,,
,,72,2,False,False,,
,,73,1,False,False,,
,,74,2,False,False,,
,,75,8,False,False,,
,,76,6,False,False,,
,,77,0,False,False,,
,,78,3,False,True,,
,,79,9,False,False,,
,,80,7,False,False,,
,,81,7,False,False,,
,,82,2,False,False,,
,,83,7,False,False,,
,,84,7,False,False,,
,,85,7,False,False,,
,,86,7,False,False,,
,,87,6,False,False,,
,,88,2,False,False,,
,,89,2,False,False,,
