thisRow.t,notes,trial,digit,responded,correct,response_time,
,,0,6,False,False,,
,,1,5,False,False,,
,,2,6,False,False,,
,,3,4,False,False,,
,,4,5,False,False,,
,,5,2,False,False,,
,,6,4,False,False,,
,,7,8,False,False,,
,,8,9,False,False,,
,,9,5,False,False,,
,,10,6,False,False,,
,,11,1,False,False,,
,,12,2,False,False,,
,,13,2,False,False,,
,,14,8,False,False,,
,,15,5,False,False,,
,,16,1,False,False,,
,,17,1,False,False,,
,,18,8,False,False,,
,,19,3,False,True,,
,,20,8,False,False,,
,,21,6,False,False,,
,,22,6,False,False,,
,,23,5,False,False,,
,,24,2,False,False,,
,,25,9,False,False,,
,,26,7,False,False,,
,,27,1,False,False,,
,,28,4,False,False,,
,,29,5,False,False,,
,,30,3,False,True,,
,,31,9,False,False,,
,,32,0,False,False,,
,,33,9,False,False,,
,,34,9,False,False,,
,,35,3,False,True,,
,,36,5,False,False,,
,,37,4,False,False,,
,,38,8,False,False,,
,,39,4,False,False,,
,,40,7,False,False,,
,,41,7,False,False,,
,,42,4,False,False,,
,,43,4,False,False,,
,,44,4,False,False,,
,,45,7,False,False,,
,,46,1,False,False,,
,,47,0,False,False,,
,,48,3,False,True,,
,,49,8,False,False,,
,,50,9,False,False,,
,,51,6,False,False,,
,,52,2,False,False,,
,,53,7,False,False,,
,,54,5,False,False,,
,,55,7,False,False,,
,,56,0,False,False,,
,,57,3,False,True,,
,,58,5,False,False,,
,,59,8,False,False,,
,,60,6,False,False,,
,,61,9,False,False,,
,,62,0,False,False,,
,,63,2,False,False,,
,,64,0,False,False,,
,,65,6,False,False,,
,,66,8,False,False,,
,,67,9,False,False,,
,,68,6,False,False,,
,,69,9,False,False,,
,,70,1,False,False,,
,,71,7,False,False,,
,,72,1,False,False,,
,,73,9,False,False,,
,,74,1,False,False,,
,,75,3,False,True,,
,,76,8,False,False,,
,,77,1,False,False,,
,,78,8,False,False,,
,,79,1,False,False,,
,,80,8,False,False,,
,,81,9,False,False,,
,,82,9,False,False,,
,,83,7,False,False,,
,,84,5,False,False,,
,,85,6,False,False,,
,,86,0,False,False,,
,,87,2,False,False,,
,,88,0,False,False,,
,,89,1,False,False,,
