thisRow.t,notes,trial,digit,responded,correct,response_time,
,,0,2,True,True,32.575057800044306,
,,1,2,True,True,33.279338799999095,
,,2,6,True,True,33.6140163000091,
,,3,9,True,True,34.47935270000016,
,,4,8,True,True,35.4732516000513,
,,5,8,True,True,36.98129210004117,
,,6,3,True,False,37.80059410003014,
,,7,4,True,True,38.71199620002881,
,,8,2,True,True,39.583414799999446,
,,9,2,True,True,40.42452940001385,
,,10,6,True,True,41.34821650001686,
,,11,2,False,False,,
,,12,0,False,False,,
,,13,3,False,True,,
,,14,1,False,False,,
,,15,7,False,False,,
,,16,7,False,False,,
,,17,1,False,False,,
,,18,6,False,False,,
,,19,9,False,False,,
,,20,0,False,False,,
,,21,0,False,False,,
,,22,3,False,True,,
,,23,2,False,False,,
,,24,7,False,False,,
,,25,9,False,False,,
,,26,8,False,False,,
,,27,4,False,False,,
,,28,8,False,False,,
,,29,4,False,False,,
,,30,7,False,False,,
,,31,7,False,False,,
,,32,3,False,True,,
,,33,6,False,False,,
,,34,8,False,False,,
,,35,7,False,False,,
,,36,7,False,False,,
,,37,3,False,True,,
,,38,4,False,False,,
,,39,2,False,False,,
,,40,9,False,False,,
,,41,9,False,False,,
,,42,4,False,False,,
,,43,4,False,False,,
,,44,0,False,False,,
,,45,9,False,False,,
,,46,7,False,False,,
,,47,7,False,False,,
,,48,1,False,False,,
,,49,1,False,False,,
,,50,0,False,False,,
,,51,9,False,False,,
,,52,3,False,True,,
,,53,1,False,False,,
,,54,6,False,False,,
,,55,9,False,False,,
,,56,9,False,False,,
,,57,3,False,True,,
,,58,8,False,False,,
,,59,9,False,False,,
,,60,0,False,False,,
,,61,8,False,False,,
,,62,5,False,False,,
,,63,3,False,True,,
,,64,5,False,False,,
,,65,6,False,False,,
,,66,6,False,False,,
,,67,6,False,False,,
,,68,2,False,False,,
,,69,6,False,False,,
,,70,6,False,False,,
,,71,4,False,False,,
,,72,7,False,False,,
,,73,4,False,False,,
,,74,9,False,False,,
,,75,2,False,False,,
,,76,9,False,False,,
,,77,3,False,True,,
,,78,1,False,False,,
,,79,5,False,False,,
,,80,4,False,False,,
,,81,0,False,False,,
,,82,4,False,False,,
,,83,7,False,False,,
,,84,6,False,False,,
,,85,5,False,False,,
,,86,9,False,False,,
,,87,9,False,False,,
,,88,6,False,False,,
,,89,3,False,True,,
